Time,root.group_9.1701.ZT1
1546351274160,0
1546351276160,0
1546351278155,0
1546351280153,0
1546351282160,0
1546351284156,0
1546351286162,0
1546351288160,0
1546351290170,0
1546351292162,0
1546351294153,0
1546351296158,0
1546351298161,0
1546351300153,0
1546351302160,0
1546351304152,0
1546351306155,0
1546351308160,0
1546351310162,0
1546351312167,0
1546351314174,0
1546351316152,0
1546351318153,0
1546351320153,0
1546351322163,0
1546351324160,0
1546351326152,0
1546351328161,0
1546351330153,0
1546351332156,0
1546351334162,0
1546351336153,0
1546351338170,0
1546351340154,0
1546351342159,0
1546351344155,0
1546351346163,0
1546351348152,0
1546351350158,0
1546351352162,0
1546351354156,0
1546351356155,0
1546351358160,0
1546351360158,0
1546351362170,0
1546351364153,0
1546351366159,0
1546351368153,0
1546351370162,0
1546351370672,0
1546351372158,0
1546351374174,0
1546351376161,0
1546351378153,0
1546351380161,0
1546351382160,0
1546351384153,0
1546351386168,0
1546351388152,0
1546351390155,0
1546351392158,0
1546351394160,0
1546351396155,0
1546351398155,0
1546351400160,0
1546351402156,0
1546351404156,0
1546351406161,0
1546351408156,0
1546351410171,0
1546351412162,0
1546351414159,0
1546351416155,0
1546351418162,0
1546351420153,0
1546351422155,0
1546351424162,0
1546351426155,0
1546351428156,0
1546351430162,0
1546351432154,0
1546351434174,0
1546351436160,0
1546351438167,0
1546351440160,0
1546351442160,0
1546351444154,0
1546351446158,0
1546351448152,0
1546351450156,0
1546351452157,0
1546351454152,0
1546351456158,0
1546351458170,0
1546351460163,0
1546351462152,0
1546351464155,0
1546351466154,0
1546351468155,0
1546351470153,0
1546351472162,0
1546351474160,0
1546351476158,0
1546351478162,0
1546351480154,0
1546351482174,0
1546351484160,0
1546351486161,0
1546351488159,0
1546351490160,0
1546351492155,0
1546351494156,0
1546351496160,0
1546351498155,0
1546351500161,0
1546351502160,0
1546351504158,0
1546351506173,0
1546351508160,0
1546351510157,0
1546351512157,0
1546351514152,0
1546351516162,0
1546351518154,0
1546351520163,0
1546351522155,0
1546351524156,0
1546351526160,0
1546351528160,0
1546351530167,0
1546351532162,0
1546351534152,0
1546351536156,0
1546351538161,0
1546351540155,0
1546351542154,0
1546351544152,0
1546351546156,0
1546351548157,0
1546351550160,0
1546351552154,0
1546351554174,0
1546351556160,0
1546351558157,0
1546351560159,0
1546351562165,0
1546351564154,0
1546351566158,0
1546351568153,0
1546351570162,0
1546351572159,0
1546351574154,0
1546351576156,0
1546351578165,0
1546351580160,0
1546351582159,0
1546351584155,0
1546351586160,0
1546351588152,0
1546351590153,0
1546351592160,0
1546351594152,0
1546351596155,0
1546351598160,0
1546351600158,0
1546351602172,0
1546351604161,0
1546351606153,0
1546351608158,0
1546351610163,0
1546351612153,0
